url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Foundations-Data-Science-Avrim-Blum/dp/1108485065/ref=sr_1_17?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-17,Foundations of Data Science,4.9,22,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Quantitative-Social-Science-Data-Introduction/dp/1526411504/ref=sr_1_173?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-173,Quantitative Social Science Data with R: An Introduction,4.9,11,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Science-Crash-Course-Beginners-Python-ebook/dp/B08H4JKTVL/ref=sr_1_84?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-84,Data Science Crash Course for Beginners with Python: Fundamentals and Practices with Python (Machine Learning & Data Science for Beginners),4.9,9,0.0,15.99,4.14,4.14,4.14
https://www.amazon.com/Red-Data-Girl-Bryn-Apprill/dp/B01N908TDJ/ref=sr_1_53?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-53,Red Data Girl: The Complete Series - S.A.V.E. (Super Amazing Value Edition),4.8,932,0.0,0.0,0.0,24.98,0.0
https://www.amazon.com/Build-Career-Science-Jacqueline-Nolis/dp/1617296244/ref=sr_1_5?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-5,Build a Career in Data Science,4.8,49,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Science-Design-Manual-Texts-Computer/dp/3319554433/ref=sr_1_82?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-82,The Data Science Design Manual (Texts in Computer Science),4.8,39,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Better-Data-Visualizations-Scholars-Researchers/dp/0231193114/ref=sr_1_32?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-32,"Better Data Visualizations: A Guide for Scholars, Researchers, and Wonks",4.8,33,0.0,95.0,0.0,24.95,0.0
https://www.amazon.com/Trader-Construction-Kit-Fundamental-Quantitative/dp/0997629517/ref=sr_1_165?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-165,"Trader Construction Kit: Fundamental & Technical Analysis, Risk Management, Directional Trading, Spreads, Options, Quantitative Strategies, Execution, Position Management, Data Science & Programming",4.8,30,0.0,0.0,0.0,89.1,0.0
https://www.amazon.com/Never-Split-Difference-audiobook/dp/B01COR1GM2/ref=sr_1_221?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-221,Never Split the Difference: Negotiating as if Your Life Depended on It,4.8,16,0.0,6.46,0.0,0.0,0.0
https://www.amazon.com/Things-Ethics-Everyone-Science-Should/dp/1492072664/ref=sr_1_66?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-66,97 Things About Ethics Everyone in Data Science Should Know: Collective Wisdom from the Experts,4.8,12,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Data-Pipelines-Pocket-Reference-Processing/dp/1492087831/ref=sr_1_231?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-231,Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,4.8,9,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Python-Data-Science-Hands-Project-Based/dp/1914185102/ref=sr_1_81?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-81,"Python Data Science: Learn Python in a Week and Master It. An Hands-On Introduction to Big Data Analysis and Mining, a Project-Based Guide with Practical Exercises (7 Days Crash Course)",4.8,8,0.0,1.17,0.0,23.95,0.0
