url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Business-Intelligence-Analytics-Data-Science/dp/0134633288/ref=sr_1_39?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-39,"Business Intelligence, Analytics, and Data Science: A Managerial Perspective",4.6,163,0,0,0,0,0
https://www.amazon.com/Practical-Statistics-Data-Scientists-Essential/dp/149207294X/ref=sr_1_28?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-28,Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,4.6,162,0,0,0,0,0
https://www.amazon.com/Machine-Learning-techniques-predictive-modeling/dp/1788295862/ref=sr_1_217?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021257&sr=8-217,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition",4.6,161,0,0,0,0,0
https://www.amazon.com/Python-Workshop-Interactive-Approach-Learning/dp/1839218851/ref=sr_1_71?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-71,The Python Workshop: Learn to code in Python and kickstart your career in software development or data science,4.6,146,0,26.49,0,0,0
https://www.amazon.com/Fundamentals-Data-Visualization-Informative-Compelling/dp/1492031089/ref=sr_1_133?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-133,Fundamentals of Data Visualization: A Primer on Making Informative and Compelling Figures,4.6,115,0,0,0,0,0
https://www.amazon.com/Building-Analytics-Teams-intelligence-improvement/dp/1800201184/ref=sr_1_181?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-181,Building Analytics Teams: Harnessing analytics and artificial intelligence for business improvement,4.6,77,0,19.28,0,39.99,0
https://www.amazon.com/Be-Outlier-Data-Science-Interviews-ebook/dp/B08F9M83LJ/ref=sr_1_73?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-73,Be the Outlier: How to Ace Data Science Interviews,4.6,32,0,15.99,5.96,5.96,5.96
https://www.amazon.com/Art-Data-Science-Roger-Peng/dp/1365061469/ref=sr_1_160?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-160,The Art of Data Science,4.6,26,0,0,0,23.01,0
https://www.amazon.com/Introduction-Data-Science-Prediction-Algorithms/dp/0367357984/ref=sr_1_68?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-68,Introduction to Data Science: Data Analysis and Prediction Algorithms with R (Chapman & Hall/CRC Data Science Series),4.6,20,0,0,0,0,0
https://www.amazon.com/Practical-Data-Science-Nina-Zumel/dp/1617295876/ref=sr_1_67?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-67,Practical Data Science with R,4.6,20,0,0,0,0,0
