url,title,stars,reviewers,cost,cost_2,cost_3,kindle,kindle_2,kindle_3
https://www.amazon.com.mx/Graphics-Cookbook-Practical-Recipes-Visualizing/dp/1491978600/ref=sr_1_231?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-231,R Graphics Cookbook: Practical Recipes for Visualizing Data,4.6,51,144.4,385.88,0,0,144.4,0
https://www.amazon.com.mx/Fundamentals-Clinical-Data-Science-English-ebook/dp/B07FNGDHRR/ref=sr_1_50?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-50,Fundamentals of Clinical Data Science (English Edition),4.6,40,0,0,0,0,0,0
https://www.amazon.com.mx/Art-Data-Science-Roger-Peng/dp/1365061469/ref=sr_1_114?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021554&sr=8-114,The Art of Data Science,4.6,26,412.42,0,0,0,412.42,0
https://www.amazon.com.mx/Data-Mining-Business-Analytics-Applications/dp/1119549841/ref=sr_1_169?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021569&sr=8-169,"Data Mining for Business Analytics: Concepts, Techniques and Applications in Python",4.6,24,939,966,0,0,939,0
https://www.amazon.com.mx/Digital-Archaeology-Art-Science-Forensics/dp/0321803906/ref=sr_1_274?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-274,Digital Archaeology: The Art and Science of Digital Forensics,4.6,22,449.9,748.19,0,0,449.9,0
https://www.amazon.com.mx/Introduction-Statistics-Analysis-Using-Stata/dp/1506371833/ref=sr_1_209?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-209,An Introduction to Statistics and Data Analysis Using Stata(r): From Research Design to Final Report,4.6,19,723.9,288.01,0,0,723.9,0
https://www.amazon.com.mx/Understanding-Compression-Data-Modern-Developers/dp/1491961538/ref=sr_1_267?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021599&sr=8-267,Understanding Compression: Data Compression for Modern Developers,4.6,15,583.69,329.95,0,0,583.69,0
https://www.amazon.com.mx/Python-Data-Analysis-Beginners-Discovering-ebook/dp/B08X2TQHNN/ref=sr_1_207?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021584&sr=8-207,"Python for Data Analysis: The Top Guide for Beginners to Discovering Data Science from Scratch, Data Analysis, Analytics & Machine Learning using Python ... Cases - 4 Books in 1 (English Edition)",4.6,13,0,0,101.34,101.34,0,101.34
https://www.amazon.com.mx/Analytical-Skills-Data-Science-Enterprise/dp/1492060941/ref=sr_1_10?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021523&sr=8-10,Analytical Skills for AI and Data Science: Building Skills for an Ai-Driven Enterprise,4.6,11,854.2,577,0,0,854.2,0
https://www.amazon.com.mx/dp/B0932CV4L2/ref=sr_1_90?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021539&sr=8-90,FRANKENSTEIN or The Modern Prometheus (English Edition),4.6,10,0,194.25,61.83,61.83,0,61.83
https://www.amazon.com.mx/Book-Why-Science-Cause-Effect/dp/046509760X/ref=sr_1_303?__mk_es_MX=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021615&sr=8-303,The Book of Why: The New Science of Cause and Effect,4.5,894,467.21,139,0,0,467.21,0
